Id,SalePrice
1461,114755.43284282564
1462,145046.35821453197
1463,167155.30253440415
1464,183853.12013747141
1465,224622.66432918393
1466,180139.85178406222
1467,159453.91008377148
1468,168893.6152286662
1469,181262.533851215
1470,116733.64633312475
1471,177717.93396896427
1472,100640.60374087442
1473,99223.23346705084
1474,165246.8866334829
1475,126837.36106920094
1476,402533.26391662925
1477,274127.21798508946
1478,323132.4015940082
1479,302384.06910495815
1480,416766.7995661837
1481,311659.81426288903
1482,240185.92708108388
1483,176565.66130343973
1484,183770.24289470547
1485,188626.73023684783
1486,206913.46215514094
1487,323311.0223107836
1488,256213.1089641441
1489,202086.80410128713
1490,195937.19197146196
1491,198642.7654789215
1492,114107.64704837697
1493,153243.05821383424
1494,320286.72326580336
1495,311400.14218178735
1496,209148.35038743814
1497,217734.5302128724
1498,190725.7883093254
1499,192315.13431778224
1500,183213.46821175504
1501,196705.26065988728
1502,183125.70184988555
1503,249038.35609273805
1504,246186.36264147333
1505,211142.93883682648
1506,176313.2639956209
1507,227715.4056402725
1508,185624.68274964232
1509,158485.69544202322
1510,142321.99662997504
1511,141288.65569082586
1512,156167.7795794683
1513,173590.35951608745
1514,139576.9797611544
1515,200839.655571067
1516,147349.55938024638
1517,147905.20694829282
1518,150494.42600229196
1519,193182.36626551845
1520,126963.24492291536
1521,129614.89976485464
1522,161914.34282990266
1523,120866.83330766228
1524,106482.9580231814
1525,114573.45640246481
1526,116955.68950772546
1527,124947.37414140913
1528,139728.9477858472
1529,139192.4925580426
1530,156921.29122195122
1531,124175.9253146741
1532,91057.71113655141
1533,138693.4418634883
1534,123460.23434512848
1535,150044.50074644768
1536,122949.59130525622
1537,85341.02121190925
1538,176805.36191744177
1539,225485.98284873876
1540,124053.82046058841
1541,150166.10835834316
1542,132249.68958749215
1543,171836.90224631273
1544,87411.7819970436
1545,107823.37780651773
1546,117425.50644721386
1547,118367.10891767107
1548,117606.276018241
1549,117993.02620307104
1550,122856.53845729804
1551,109773.0821221257
1552,133190.72296690565
1553,147223.52192092704
1554,135733.22566795006
1555,162773.2432874632
1556,135038.96059052355
1557,108197.52056269934
1558,109231.02985461525
1559,118755.0802036697
1560,139603.55001137336
1561,118318.41157795096
1562,120190.384559271
1563,109355.2813941648
1564,139149.35402071427
1565,141714.8455982039
1566,194086.97296552215
1567,93636.293227745
1568,210395.44599087015
1569,109864.48825621372
1570,126724.25458763399
1571,123527.39037667264
1572,118193.68929017021
1573,176812.07962597377
1574,131234.59349121826
1575,188570.01901381765
1576,207197.63300757643
1577,194013.65962091964
1578,167466.57809424566
1579,140293.55211948475
1580,194101.52171985264
1581,137462.81263588404
1582,127315.9211843615
1583,259741.94511909664
1584,232880.79446478008
1585,151074.01140730872
1586,84076.81191421281
1587,101500.61316086022
1588,119252.37659668906
1589,99478.31125130078
1590,121198.40214207841
1591,90299.5005575953
1592,125222.82540246469
1593,113458.39118027374
1594,152508.33999268673
1595,119902.63542455142
1596,210169.0291164763
1597,195511.48954494167
1598,209373.28911923576
1599,166215.35463717673
1600,175458.40723845785
1601,56406.593552380706
1602,111463.77950477917
1603,81788.12241675182
1604,229559.67017177434
1605,242247.6183549047
1606,162706.28675056278
1607,187235.83233945462
1608,229963.0559651378
1609,209254.24800506793
1610,180417.32229221353
1611,146075.53875924202
1612,161359.5409671383
1613,149023.74341838202
1614,92982.69783851774
1615,85184.52192290827
1616,85184.52192290827
1617,88723.0122576664
1618,118416.6920395593
1619,130412.02392779326
1620,192933.38643451547
1621,145902.65987654505
1622,145710.41354821922
1623,221030.92669132567
1624,194709.7677462083
1625,115527.6610390863
1626,159270.6373113867
1627,176851.39220468936
1628,272159.18238518765
1629,188705.46982193337
1630,304785.2756530994
1631,219540.2563898598
1632,255222.57549813922
1633,180847.64502629158
1634,181635.72923986145
1635,179509.3965063856
1636,166846.39019617278
1637,179781.58962011652
1638,214488.11184381173
1639,175285.95844826603
1640,246827.32923702264
1641,177579.00650656671
1642,239762.48688668662
1643,247462.14763590586
1644,248079.25167585252
1645,164712.17873426047
1646,150376.29915536154
1647,163434.9279600075
1648,138468.83518520565
1649,113756.54316938082
